http://twitter.com/LaNoireSakura/statuses/606878579390050304	dbl Kongress war gut . Japanviertel war gut . Heimfahrt - Horror ! Danke liebe Bahn .	neg
http://www.gelnhaeuser-tageblatt.de/sport/national-und-international/sportpolitik/fifa-welt-vor-einer-neuordnung\_15486464.htm	Ich bin wirklich positiv überrascht . Seit mehreren Tagen klappen Abfahrtzeiten und Anschlüsse . #S5 #RE1 bzw #RE21 @DB_Info @DB_Bahn	pos
http://www.badische-zeitung.de/dpa-wirtschaft/lufthansa-will-gebuehr-bei-buchung-ueber-reservierungssysteme--105696726.html	Re : DB Bahn Der letzte Streik , sowie viele massive Verspätungen haben mich ebenfalls heftig getroffen . Dreckige / Defekte Toiletten & extrem verschmutze Abteile ( und das in der 1ten Klasse -_- ) auch . Darauf will ich im Moment auch gar nicht eingehen . Aber die Sache mit der App finde ich einfach unmöglich . Ich bin doch nicht schuld daran , dass es diese Möglichkeit gibt & ich sie ( im Grunde ) dankend in Betracht ziehe .	neg
http://www.facebook.com/150869611609144/posts/870658246315773#150869611609144\_870658246315773	s7.postimg.org s7.postimg.org " Hat eigentlich jemand die Mail-Adresse vom Volker Kefer oder direkt von jemandem des aktuellen Technikvorstandes ? Gestern 32 Grad im RB und es ist noch nicht mal richtig Sommer . Schon fallen die Klimaanlagen aus . Aus Erfahrung weiß ich , dass dies nun öfter passieren wird in den nächsten 3 -4 Monaten . Fenster kippen geht in virtuell-klimatisierten Zügen ja auch nicht . Die DB reagiert jedenfalls nicht und die dumm-dreiste Antwort auf Facebook von DB : " " Ja da können wir auch nichts machen " " . 32 Grad ist jedenfalls erst der Anfang . Der Hochsommer kommt ja noch . Und neben mir war ein Baby im maxi-cosi was auch leiden musste ... einfach nur schwach was die DB manchmal abliefert . Von den Dünsten aus der nicht von der Fahrgastzelle abgeschirmten Toilette mal zu schweigen ... da waren die alten RE-Züge besser . "	neg
http://deal-magazin.com/index.php?cont=news&thisMonth=2015-06	RT @Janzwitschert : Es gibt nichts was ironischer ist als eine Zugbegleiterin die in der Bahn App eine Verbindung sucht , aber kein Netz beko …	neg
http://www.kreis-anzeiger.de/vermischtes/vermischtes/ueberfuehrung-von-germanwings-opfern-verspaetet-sich\_15487391.htm	Schon das 2. Mal ohne Vorwarnung über Hanau umgeleitet ?!? Danke @dB_Bahn für die verlorenen 45 Minuten !! #jalecksmidoch #wtf #fail	neg
http://www.facebook.com/179701538725300/posts/1061784820516963?comment\_id=1061860727176039#179701538725300\_1061784820516963\_1061860727176039	Re : OTZ Ich sagst ja immer wieder , Die Bahn hat nur die Große Fresse , aber nix dahinter ! kein Verlass auf die Bahn !	neg
http://www.facebook.com/152033178165965/posts/850924241610185?comment\_id=852576251444984#152033178165965\_850924241610185\_852576251444984	Re : DB Bahn lach Ihr Streikt doch eh immer nur , ich kann den ...... Bus empfehlem und GÜNSTIGER !!!	neg
http://www.facebook.com/152033178165965/posts/1005118446173034?comment\_id=1005128362838709#152033178165965\_1005118446173034\_1005128362838709	Re : DB Bahn Die Mitarbeiter sollten sich mal in einen Rollstuhl setzen und durch die Bahnhöfe fahren ... Dann würden sie beim nächsten Mal nicht solche Sprüche von sich geben ...	neg
http://www.facebook.com/152033178165965/posts/852658974770045#152033178165965\_852658974770045	Re : Phillip Plum Liebe Bahn , sind eure Züge das warme Wetter nicht mehr gewöhnt ? Es sind nun schon 2 Züge auf der Strecke stehen geblieben , Bahnübergangstörung und Weichenstörung hatten wir auch . Ich rede nur von einem Zug . Und ich will doch nur von Leer nach Bremen . Mit einer Stunde Verspätung kann , kann ich die Freitagsplanung nun in den Müll werfen ... Nervt !	neg
